product,s1,s2
arbeitskleidung,wolle,
baumwollstoff,baumwolle,
bier,malz,hopfen
bretter,holz,
brillen,glas,messing
brot,mehl,
dampfmaschinen,stahl,messing
dampfwagen,fahrgestelle,dampfmaschinen
dynamit,talg,salpeter
fahrgestelle,holz,kautschuk
fenster,holz,glas
fleischkonserven,eisen,gulasch
gaskraftwerk,gas,
gebackene_bananen,fischoel,bananen
glas,quarz,
gluehbirnen,glas,gluehfaeden
gluehfaeden,kohle,
goldbarren,kohle,golderz
gulsch,rindfleisch,paprika
hochraeder,kautschuk,stahl
holzfurnier,holz,
hundeschlitten,schlitten,huskys
kaffee,kaffeebohnen,
kanonen,stahl,
malz,getreide,
mehl,getreide,
messing,kupfer,zink
naehmaschinen,stahl,holz
oellampen,messing,waloel
parkas,baerenfell,robbenfelle
pelzmaentel,felle,baumwollstoff
pemmikan,waloel,rentierfleisch
phonographen,holzfurnier,messing
ponchos,alpakawolle,
rum,zuckerrohr,holz
schlafsaecke,robbenfelle,gaensefedern
schlitten,robbenfelle,holz
schmuck,perlen,goldbarren
schnaps,kartoffeln,
schokolade,kakao,zucker
schwere_geschuetze,stahl,dynamit
segel,wolle,
seife,talg,
sekt,trauben,glas
stahl,kohle,eisen
stahlbeton,zement,stahl
stahltraeger,stahl,
talg,schweine,
taschenuhren,glas,goldbarren
wurst,schweine,
zigarren,tabak,holzfurnier
zucker,zuckerrohr,
